business_id,Date,Rating,Content,Review_auther,Review_image,Reactions,Replies,review_order,Eelite_status,check-in_status,business_name
"balance-pool-care-oakley","""19/06/2024""",5,"Alex is great and Balance Pool Care is reliable, professional and all you'll ever need. Definitely recommend.","{""Friends"":0,""Location"":""Boston, MA"",""Photos"":3,""Reviews_made"":13,""URL"":""https://www.yelp.com/user_details?userid=rYD3R-DGB4zFfj-8WJ9A7Q"",""Username"":""N B.""}","null","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Thank you N B.\n\nI strive to provide a professional service. Your compliments are appreciated."",""Date"":""27/08/2024"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/gVvJEZM1cZ8ngpp_NzYEeQ/30s.jpg"",""Username"":""Alex A.""}]",3,"","0 check-in","Balance Pool Care"
"supreme-pool-services-westlake","""28/02/2024""",5,"Adrian of Supreme Pool Service is reliable, honest and does a great job on our pool. His online payment system is convenient. Every time he services our pool I get an email with photos of the water and readings of the chemical levels. I would highly recommend him for servicing your pool.","{""Friends"":0,""Location"":""West Palm Beach, FL"",""Photos"":1,""Reviews_made"":1,""URL"":""https://www.yelp.com/user_details?userid=JKVJXLQYLQ9oyw5vvQiR6A"",""Username"":""Diana D.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/t6OyAPOeUvAI41vwByGVBQ/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":1,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",4,"","0 check-in","Supreme Pool Service's"
"shine-spot-cleaning-services-miami","""15/08/2024""",5,"Fast efficient and did an amazing job apartment is spotless and did it in a very convenient timeframe!","{""Friends"":0,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/1gXXdOa6fCq3bPv7oHmOpA/60s.jpg"",""Location"":""Miami, FL"",""Photos"":0,""Reviews_made"":1,""URL"":""https://www.yelp.com/user_details?userid=uCfk50qcW7rwpspX2_9niQ"",""Username"":""Karan K.""}","null","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""It was a pleasure for us to serve your thanks."",""Date"":""15/08/2024"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/nYXNFoje1ONRStcgwQLKZQ/30s.jpg"",""Username"":""Roselaure C.""}]",1,"","0 check-in","Shine Spot Cleaning Services"
"lisa-housekeeping-miami","""06/09/2024""",5,"Great service from Lisset and her team! Very professional and quick to respond. Great communication and left my apartment spotless. They even offer a variety of cleaning products to use so I got to choose what I wanted my apartment cleaned with :)","{""Friends"":1,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/32isO3e70ZtAiSIEa_svgg/60s.jpg"",""Location"":""Miami, FL"",""Photos"":0,""Reviews_made"":1,""URL"":""https://www.yelp.com/user_details?userid=MQSqmfWTaU-fyAhtltjP_w"",""Username"":""Hannah W.""}","null","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Thank you Hannah, I’m glad you enjoyed our service! We appreciate all feedback to improve our service so you all can get your moneys worth! Thanks again and as always we’re at your service"",""Date"":""06/09/2024"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/VSWk9Jz35zD7tyzaV0GV1Q/30s.jpg"",""Username"":""Lisset P.""}]",1,"","0 check-in","Lisa Housekeeping"
"supreme-pool-tile-cleaning-la-quinta","""14/07/2023""",1,"Rudy came out to look at my pool.  He came across as professional in the beginning until the day he started working on my pool. I FOUND HIM TO BE  UNPROFESSIONAL.

I did not like that he showed up at 7:30 AM in the morning when I told him to come around  4:00 PM to set up the equipment and start draining the pool because my HOA requires draining the pool overnight.  At 11:30 AM, I got a knock on the door by my HOA to stop draining the pool. Luckily, I did not get a violation or fined by the HOA because Rudy did not follow my instructions. 

I did not like that he showed up 3 hours late for a scheduled appointment to do the Pool Acid Wash and cleaning the Pool Tiles.  Had to wait around for him, especially on a Friday Afternoon.  To me that is very flaky.

I did not like that he only spent 20 to 25 minutes total in the swimming pool doing an Acid Wash. I have a pool that is 8 feet deep and long. I am not happy with the result and to me it is poor workmanship.

I am not happy with the stain underneath my pool light cover because he did not take the pool light cover off.  I am unable to get the stain out.

I am also not happy with the sealer he put on the tiles. He missed areas and is sloppy in other areas. 

I am not happy that he left my skimmer and skimmer cover a mess.

After the pool plaster was dry, I looked over his work the next morning.  I called Rudy to address my concerns about his workmanship.  He did call me back, but I found him to be completely UNPROFESSIONAL in addressing my concerns. I tried texting him back again the next day, but found it to be completely useless.

I decided to cancel the check I wrote him because I felt ripped off.  

He gave me a call about the canceled check and was willing to reduce the amount on the bill. However, he threatened me with a Mechanics Lien on my home if I did not pay. So, I was left with either clouding my title of my home with a Mechanics Lien or paying him for work that I felt was unacceptable. 

I am not happy nor satisfied with his work and especially his customer service. Having to dealing with Rudy throughout the process was stressful, a complete headache, and I felt I got ripped off.

I made a big mistake by hiring Supreme Pool Tile Works and I will not use them again and would not recommend him.","{""Friends"":4,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/ZsnnPE-Ts4dvlE0rAHt17Q/60s.jpg"",""Location"":""CA, CA"",""Photos"":5,""Reviews_made"":18,""URL"":""https://www.yelp.com/user_details?userid=ehDNBwcHa4Kltjvj2jkyzA"",""Username"":""Tim M.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/vG9onsL2syX7cg0qdCzCDg/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/HYvV-cAOpFErax4YuyEJLQ/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/79YsR4g-vJZtNvZ7rnmQmQ/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/Qfb4tD0Pw8BAccmdP5l34w/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/nP3IB9MdCCrFdk_fLYbt-w/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/xnp2s_Mm6vBiQRPIFqbXHQ/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",4,"","0 check-in","Supreme Pool Tile Cleaning"
"supreme-pool-tile-cleaning-la-quinta","""06/02/2022""",5,"Rudy and Jesus did an amazing job on our pool tile. We couldn't believe the difference! In fact, we never realized that our tile is actually two different color blues until they had blasted all the calcium off. They also did a light acid wash on our plaster which makes the water look cleaner. Both Rudy and Jesus were friendly, super professional and showed up when they said they would. They answered all our questions and clearly take a lot of pride in their work. Pricing seemed very reasonable, especially compared to replacing the tile. This cleaning bought us a few years before we'll need to make that larger investment, which we really appreciate. Highly recommended!","{""Friends"":2,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/2z_0nJkmgBF3No79-61CQA/60s.jpg"",""Location"":""Cathedral City, CA"",""Photos"":4,""Reviews_made"":15,""URL"":""https://www.yelp.com/user_details?userid=77A1XJiF9E7yA42duelCYA"",""Username"":""Danielle M.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/K_MeyhytRf-KrgJJGJftwg/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/Tx890YniLgfwvQqEFRt0pg/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/ahk2FNJn1e8gCAg_T0YfkA/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/dPHaeTxghTMEVx4di5tSWQ/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",17,"","0 check-in","Supreme Pool Tile Cleaning"
"south-bay-leak-detection-san-jose","""10/08/2024""",5,"I am so glad that I called South Bay Leak Detection. Kerry found a leak in my pool when another leak detection company couldn't. I highly recommend this leak detector, and he will be my go-to person if I ever have another leak!","{""Friends"":0,""Location"":""San Francisco Bay Area, CA"",""Photos"":0,""Reviews_made"":1,""URL"":""https://www.yelp.com/user_details?userid=pFabfvgEwMKGyF58U5llJw"",""Username"":""Monica A.""}","null","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Thank you and you’re very welcome, Monica! Im glad I was able to help you out."",""Date"":""11/08/2024"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/Vk4Cs0BB07vuJ9tYWwin8g/30s.jpg"",""Username"":""Kerry J.""}]",1,"","0 check-in","South Bay Leak Detection"
"daniel-mondragon-dallas-4","""08/02/2024""",5,"Such a great experience for me ! I had no idea how much water I was wasting before I was informed about my new sprinkler system , they kept me educated on what process and procedures that were taking place in my front and back yard , they did a great job cleaning up and informed me about my new controller system linked to my sprinkler system. Thank you and I'll definitely recommend your services!!","{""Friends"":0,""Location"":""Mesquite, TX"",""Photos"":2,""Reviews_made"":5,""URL"":""https://www.yelp.com/user_details?userid=Eqx_pobQtBfwQTR-8oIkQw"",""Username"":""Jordyn G.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/3GhZImCaPhpqojH2S0cJYw/348s.jpg"",""https://s3-media0.fl.yelpcdn.com/bphoto/Rau4QfHsT4PeYHVutRJxFQ/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":1,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",2,"","0 check-in","Daniel Mondragon"
"leisure-pools-of-sw-florida-naples-2","""19/12/2017""",5,"Brandon and the entire team at Leisure Pools are complete class act. It's evident as to why they've been in business all these years. We ran into some difficult situations with our pool following the hurricane and not only were they able to get everything back up and running, they did so timely and efficiently. They are the top pool professionals of Naples. Thank you again Brandon!","{""Friends"":0,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/il5hHSYQmUeba9s2uVXRhw/60s.jpg"",""Location"":""Park Ridge, NJ"",""Photos"":7,""Reviews_made"":40,""URL"":""https://www.yelp.com/user_details?userid=msh4euTFd39VN8S6A6D7zg"",""Username"":""Joe C.""}","null","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":1,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Thank you Joe! We love what we do and always aim to please. As a small company we have many ways of direct contact with the owners so that we can make sure customers are satisfied I a timely manner. Thank you again for the positivity! We wish the best to you and your family!"",""Date"":""02/07/2023"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/5JlmvyNKfqJVh49t118igQ/30s.jpg"",""Username"":""E A.""}]",1,"","0 check-in","Leisure Pools Of SW Florida"
"marlin-galan-richmond","""10/05/2023""",1,"This company is the worse. They have a horrible communication!! They do a really poor job and barely want to do any work. They will over charge you for everything. It's really crappy service.","{""Friends"":0,""Location"":""Virginia Beach, VA"",""Photos"":0,""Reviews_made"":1,""URL"":""https://www.yelp.com/user_details?userid=3FW-BfkpSF7T-dwKPwx7rQ"",""Username"":""Bling W.""}","null","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Mr Bling W, you put the bad review because you did not want to pay after the work that the boys did, the work was Perfect and you got angry when we wanted to charge saying that everything is wrong, I have proof of our conversation and I can upload it with pleasure"",""Date"":""15/05/2023"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/JhPNgOzzFKIAl7v9Urnobg/30s.jpg"",""Username"":""Marlin G.""}]",2,"","0 check-in","ME&M Services LLC"
"pacific-pool-services-lake-forest","""22/08/2024""",5,"-



I cannot recommend Jef highly enough! From start to finish, Jeff demonstrated professionalism and expertise that truly set him apart. He came to our rescue when our pool was in desperate need of a thorough cleaning and repairs. 

Not only did he meticulously clean our pool, leaving it sparkling and inviting, but he also addressed every issue with care and precision. His attention to detail was remarkable, and he took the time to explain what needed fixing, ensuring we understood the process. 

Jeff's friendly demeanor made the experience even better; it's clear he genuinely cares about his clients and their pools. Thank you, Jeff, for your hard work and dedication. Our pool has never looked better, and we can't wait to enjoy it all summer long!","{""Friends"":0,""Location"":""CA, CA"",""Photos"":1,""Reviews_made"":2,""URL"":""https://www.yelp.com/user_details?userid=VadqVhB-63iShOIjUTMY6A"",""Username"":""Noha M.""}","[""https://s3-media0.fl.yelpcdn.com/bphoto/f5Mf1az30EpSAQW_Zzac3Q/348s.jpg""]","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","null",1,"","0 check-in","Pacific Pool Services"
"balance-pool-care-oakley","""03/07/2024""",5,"Balance pool care is a reliable company that offers excellent customer service.  Alex is attentive and responds quickly when needed.  My pool is sparkling clean with a perfect balance of chemicals.  They also give a weekly report of your pool readings and what service was done each week.  Great value for the money.","{""Friends"":84,""Image"":""https://s3-media0.fl.yelpcdn.com/photo/qpaVESPsFXn7hF5EWvOlqg/60s.jpg"",""Location"":""San Francisco, CA"",""Photos"":0,""Reviews_made"":2,""URL"":""https://www.yelp.com/user_details?userid=RYCCSnWLTJIY_tihTL_fOQ"",""Username"":""Melissa B.""}","null","[{""Number"":0,""Title"":""Helpful""},{""Number"":0,""Title"":""Thanks""},{""Number"":0,""Title"":""Love this""},{""Number"":0,""Title"":""Oh no""}]","[{""Content"":""Thank you so much, Melissa. I’m happy to take care of your pool."",""Date"":""27/08/2024"",""Title"":""BizUserReviewReply"",""User_Image"":""https://s3-media0.fl.yelpcdn.com/buphoto/gVvJEZM1cZ8ngpp_NzYEeQ/30s.jpg"",""Username"":""Alex A.""}]",1,"","0 check-in","Balance Pool Care"
